Item,TAUSTE,BARBOSA,CONFIANÇA,MERCADO LIVRE,COOP SUPERMERCADO,TENDA ATACADO
Arroz 5kg,21.9,23.99,21.9,24.19,24.99,20.9
Feijão 1kg,4.89,4.99,4.75,5.99,4.99,2.0
Macarrão 500g,2.97,2.79,2.98,4.19,3.59,2.59
Óleo 900ml,7.18,7.49,7.18,6.99,7.49,7.25
Açúcar 5kg,15.95,24.95,17.59,18.9,24.99,16.49
Leite Integral 1L,4.95,4.79,4.95,6.6,4.99,5.25
