Item,TAUSTE,BARBOSA,CONFIANÇA,COOP SUPERMERCADO,TENDA ATACADO
Arroz 5kg,22.89,19.99,19.9,22.99,19.0
Feijão 1kg,4.98,6.99,4.98,5.99,3.55
